Algorithm,Benchmark,Best Fitness,Execution Time (s),PID
SSA,ackley,1.8997440645094135,4.85,19725
MFO,ackley,19.999999942376178,811.86,19724
GEA,ackley,20.61092275860062,108.77,19726
SSA,dixonprice,1125.6279453463421,4.76,19727
MFO,dixonprice,2.6096786352072905,787.14,19728
GEA,dixonprice,44407.10461713301,94.86,19731
SSA,griewank,0.007396041644049722,4.76,19729
MFO,griewank,0.0073960415463067974,793.72,19730
GEA,griewank,0.8324165249816037,98.53,19727
SSA,perm,2.8813954004986795e-06,14.15,19729
MFO,perm,0.00016273009896079934,1677.41,19725
GEA,perm,2.279181147822557e-05,1358.32,19729
SSA,rastrigin,111.43486542706688,5.73,19731
MFO,rastrigin,20.895898658831868,821.48,19731
GEA,rastrigin,235.30582589098947,113.08,19727
SSA,rosenbrock,85.51401155042147,5.84,19726
MFO,rosenbrock,157.80154031304113,841.91,19726
GEA,rosenbrock,9116.59520351324,136.23,19727
SSA,schwefel,10940.810534446868,7.37,19727
MFO,schwefel,10909.725054744036,787.98,19727
GEA,schwefel,11866.684051170505,122.72,19728
SSA,sphere,1.1056368053633181e-08,7.68,19730
MFO,sphere,1.051577321661929e-08,625.83,19730
GEA,sphere,40.04082035154364,113.65,19724
SSA,zakharov,255.27025592089774,8.07,19728
MFO,zakharov,265.60282940539344,574.67,19728
GEA,zakharov,644.0326492685048,119.30,19731
"
Total Time (s): ",1682.43
"
Number of CPU Processes Used: ",8
