Algorithm,Benchmark,Best Fitness,Execution Time (s),PID
SSA,ackley,2.0133152482366268,3.02,17491
MFO,ackley,19.99999994240157,350.27,17491
GEA,ackley,17.766143878181314,61.27,17491
SSA,dixonprice,9.375681342770179,3.07,17491
MFO,dixonprice,1.593203989380528,345.18,17491
GEA,dixonprice,24630.089274394588,53.75,17491
SSA,griewank,0.0073960412552913635,3.05,17491
MFO,griewank,0.039399621040194344,346.49,17491
GEA,griewank,0.63343825549219,55.30,17491
SSA,perm,4.9397128076087455e-06,8.84,17491
MFO,perm,2.7604182910736332e-06,911.73,17491
GEA,perm,1.8320390412044565e-05,615.98,17491
SSA,rastrigin,213.9136959843786,3.01,17491
MFO,rastrigin,10.94611144791537,340.71,17491
GEA,rastrigin,186.9779554937709,50.97,17491
SSA,rosenbrock,27.575770634891114,3.05,17491
MFO,rosenbrock,10166.692007374848,347.90,17491
GEA,rosenbrock,15387.326241481709,56.32,17491
SSA,schwefel,11076.046364510066,2.98,17491
MFO,schwefel,10854.327829568332,338.72,17491
GEA,schwefel,11569.211769585054,47.43,17491
SSA,sphere,9.385719848980425e-09,2.91,17491
MFO,sphere,4.6023959396101444e-08,332.01,17491
GEA,sphere,32.422548590791656,43.54,17491
SSA,zakharov,234.3334556075984,2.99,17491
MFO,zakharov,420.9600005200657,341.87,17491
GEA,zakharov,1379.1291169562655,52.82,17491
"
Total Time (s): ",4725.18
"
Number of CPU Processes Used: ",1
